sample_id,url_len,num_subdomains,has_ip,is_https,count_at,count_dash,count_double_slash,domain_entropy,tld_type,num_params,has_suspicious_params
651,35,1,0,0,0,2,0,3.121928094887362,com,0,0
652,42,1,0,0,0,0,0,3.452819531114783,com,0,0
653,38,1,0,0,0,3,0,3.0957952550009344,site,0,0
654,24,1,0,0,0,0,0,3.3735572622751855,cc,0,0
655,25,1,0,0,0,0,0,2.6635327548042547,dev,0,0
656,36,1,0,0,0,0,0,3.452819531114783,com,0,0
657,21,1,0,0,0,0,0,2.584962500721156,ru,0,0
658,21,1,0,0,0,0,0,2.584962500721156,ru,0,0
659,21,1,0,0,0,0,0,2.584962500721156,ru,0,0
660,101,2,0,0,0,0,0,3.2359263506290334,com,0,0
661,21,1,0,0,0,0,0,2.584962500721156,ru,0,0
662,65,1,0,0,0,2,0,3.169925001442312,me,0,0
663,28,1,0,0,0,0,0,2.9219280948873623,io,0,0
664,15,0,0,0,0,0,0,2.75,dev,0,0
665,76,0,0,0,0,0,0,3.4613201402110083,com,0,0
666,50,0,0,0,0,0,0,3.4613201402110083,com,0,0
667,50,0,0,0,0,4,0,3.8558976050432503,com,0,0
668,25,0,0,0,0,0,0,3.7254805569978675,com.br,0,0
669,37,1,0,0,0,1,0,3.277613436819116,com,0,0
670,24,0,0,0,0,0,0,3.6168746059562227,com,0,0
671,42,0,0,0,0,1,0,3.3735572622751855,com,0,0
672,39,1,0,0,0,0,0,2.9477027792200903,io,0,0
673,27,0,0,0,0,0,0,3.2464393446710154,com,0,0
674,30,1,0,0,0,0,0,3.4677201004745006,com,0,0
675,26,0,0,0,0,0,0,3.431623565847431,com,0,0
676,42,0,0,0,0,0,0,3.5160276412662297,es,0,0
677,32,1,0,0,0,0,0,2.9219280948873623,io,0,0
678,21,0,0,0,0,0,0,3.182005814760214,com,0,0
679,19,1,0,0,0,0,0,2.584962500721156,ru,0,0
680,38,1,0,0,0,2,0,3.277613436819116,app,0,0
681,23,0,0,0,0,0,0,3.327819531114783,com,0,0
682,40,1,0,0,0,0,0,3.452819531114783,com,0,0
683,29,1,0,0,0,1,0,3.277613436819116,app,0,0
684,39,0,0,0,0,0,0,2.94770277922009,fr,1,0
685,26,0,0,0,0,0,0,3.5110854081804272,com,0,0
686,42,1,0,0,0,2,0,2.9477027792200903,io,0,0
687,48,1,0,0,0,1,0,3.0220552088742,io,0,0
688,54,1,0,0,0,0,0,3.506890595608518,com,0,0
689,28,1,0,0,0,0,0,2.9219280948873623,app,0,0
690,39,0,0,0,0,0,0,3.484183719779189,com,0,0
691,29,0,0,0,0,0,0,3.323231428797621,com,0,0
692,114,2,0,0,0,5,0,3.625,com,1,0
693,150,2,0,0,0,5,0,3.625,com,1,0
694,62,2,0,0,0,4,0,3.625,com,0,0
695,91,2,0,0,0,5,0,3.625,com,0,0
696,110,2,0,0,0,6,0,3.625,com,1,0
697,143,2,0,0,0,7,0,3.625,com,3,0
698,118,2,0,0,0,5,0,3.625,com,2,0
699,81,2,0,0,0,5,0,3.625,com,0,0
700,90,2,0,0,0,4,0,3.625,com,1,0
701,78,2,0,0,0,4,0,3.625,com,0,0
702,128,2,0,0,0,6,0,3.625,com,3,0
703,78,2,0,0,0,4,0,3.625,com,0,0
704,46,1,0,0,0,0,0,3.452819531114783,com,0,0
705,18,0,0,0,0,0,0,3.095795255000934,com,0,0
706,39,1,0,0,0,3,0,2.9219280948873623,io,0,0
707,40,1,0,0,0,6,0,2.9219280948873623,io,0,0
708,42,1,0,0,0,6,0,2.9219280948873623,io,0,0
709,49,0,0,0,0,0,0,2.725480556997868,com,0,0
710,17,0,0,0,0,0,0,2.321928094887362,do,0,0
711,17,0,0,0,0,0,0,3.1219280948873624,pw,0,0
712,38,1,0,0,0,0,0,3.452819531114783,com,0,0
713,31,1,0,0,0,0,0,2.9477027792200903,io,0,0
714,43,1,0,0,0,0,0,2.9477027792200903,io,0,0
715,52,0,0,0,0,0,0,3.327819531114783,com,0,0
716,52,0,0,0,0,0,0,3.260828171224455,com,0,0
717,59,0,0,0,0,2,0,3.2359263506290326,cl,0,0
718,26,0,0,0,0,0,0,3.3660913291191923,com.br,0,0
719,23,1,0,0,0,0,0,2.584962500721156,ru,0,0
720,66,0,0,0,0,0,0,3.783465189601646,com.br,0,0
721,100,0,0,0,0,0,0,2.7219280948873625,org.ve,0,0
722,139,0,0,0,0,0,0,2.7219280948873625,org.ve,2,0
723,65,0,0,0,0,2,0,3.5,com.hk,0,0
724,36,1,0,0,0,0,0,3.188721875540867,com,1,0
725,60,1,0,0,0,4,0,3.2516291673878226,com,0,0
726,30,1,0,0,0,0,0,3.095795255000934,tw,0,0
727,50,1,0,0,0,0,0,2.9477027792200903,io,0,0
728,114,0,0,0,0,0,0,3.5724312513221195,eu,2,0
729,86,0,0,0,0,0,0,3.521928094887362,co.za,0,0
730,48,1,0,0,0,1,0,2.9477027792200903,io,0,0
731,65,2,0,0,0,0,0,3.169925001442312,net,0,0
732,36,1,0,0,0,1,0,3.277613436819116,com,0,0
733,42,1,0,0,0,0,0,2.9477027792200903,io,0,0
734,42,1,0,0,0,0,0,3.121928094887362,com,0,0
735,36,1,0,0,0,0,0,2.9477027792200903,io,0,0
736,41,1,0,0,0,1,0,2.9477027792200903,io,0,0
737,42,1,0,0,0,0,0,2.9477027792200903,io,0,0
738,40,1,0,0,0,1,0,2.9477027792200903,io,0,0
739,42,1,0,0,0,0,0,3.452819531114783,com,0,0
740,33,1,0,0,0,0,0,2.9477027792200903,io,0,0
741,24,0,0,0,0,0,0,3.0574760762899316,com,0,0
742,26,1,0,0,0,1,0,2.75,sh,0,0
743,24,1,0,0,0,0,0,3.084962500721156,me,0,0
744,48,1,0,0,0,0,0,2.9477027792200903,io,0,0
745,44,1,0,0,0,3,0,3.085055102756477,net,0,0
746,40,1,0,0,0,2,0,3.169925001442312,me,0,0
747,29,0,0,0,0,0,0,3.3232314287976212,com,0,0
748,67,0,0,0,0,0,0,3.1219280948873624,pro,0,0
749,49,0,0,0,0,0,0,3.1219280948873624,pro,0,0
750,19,0,0,0,0,0,0,3.2516291673878226,com,0,0
751,31,1,0,0,0,0,0,2.9477027792200903,io,0,0
752,20,1,0,0,0,0,0,2.584962500721156,ru,0,0
